"first_name","last_name","count_1_class","count_2_class"
"Milena","Franová",1,1
"Oxana","Frimer",1,3
"Stanislava","Frimer",1,2
"Ondrej","Ftoreková",1,2
"Radomír","Galíková",1,2
"Hermína","Gašparová",1,1
"Regína","Gavalierová",1,1
"Eugénia","Gavenda",1,2
"Patrícia","Gavenda",1,1
"Andrej","Gavorník",1,1
"Cecília","Gavorník",1,1
"Nora","Gavorník",1,2
"Juliana","Gavorníková",2,3
"Tatiana","Gocníková",1,1
"Šimon","Gregorová",1,2
"Iveta","Grňa",1,1
"Eunika","Hagara",1,1
"Jaroslav","Halák",1,2
"Henrieta","Hanáková",1,1
"Alžbeta","Haňaková",1,2
"Rozália","Hanko",2,2
"Zora","Hanko",1,1
"Olympia","Harvanová",1,3
"Ružena","Harvanová",1,2
"Timea","Havranka",1,1
"Pravoslav","Havranková",1,1
"Eugen","Havranová",1,1
"Daniel","Heretik",1,2
"Slavomír","Hilmerová",1,2
"Miroslav","Hliník",1,2
"Michaela","Hlinka",2,3
"Filip","Holčík",2,4
"Nadežda","Holiček",2,1
"Demeter","Holíčeková",1,2
"Dagmara","Holičová",1,1
"Oxana","Holubeková",1,1
"Cecília","Holubko",1,1
"Valentína","Hrdličková",1,1
"Eleonóra","Hric",2,3
"Ľubica","Hricová",1,3
"Elvíra","Hrmová",1,2
"Juliana","Hruška",1,2
"Alžbeta","Hrušková",1,5
"Svetlana","Hrušková",1,3
"Vieroslava","Hrušovská",1,1
"Sidónia","Huba",1,1
"Klement","Hudec",1,1
"Prokop","Husák",1,2
"Alojz","Húšek",1,1
"Silvester","Husťák",1,1
"Martin","Hušťák",1,3
"Ľubomíra","Husťáková",2,1
"Marcela","Husťáková",1,2
"Elisa","Hutta",1,3
"Július","Hutta",1,3
"Blažena","Jakubček",1,2
"Marta","Jakubčo",1,2
"Maximilián","Jakubčová",2,1
"Ivana","Jakúbek",1,1
"Drahoslav","Jakubeková",1,2
"Florián","Janáková",1,2
"Ľudovít","Janáková",1,1
"Beáta","Janček",1,3
"Lenka","Jančeková",1,2
"Luna","Jančová",1,1
"Ignác","Janeček",1,2
"Jana","Janečka",1,1
"Judita","Janík",1,3
"Frederika","Janka",1,5
"Vojtech","Janková",1,1
"Ľudovít","Janoš",1,2
"Vlastimil","Janošeková",2,2
"Dominik","Jánošík",1,3
"Kristína","Jánošík",2,1
"Otília","Janoško",1,2
"Alana","Janošková",1,2
"Vít","Jánošová",1,3
"Bohuslava","Jonatová",1,1
"Matúš","Junáš",1,1
"Klaudia","Junasová",1,1
"Jerguš","Junášová",1,1
"Bohumila","Jurčina",1,1
"Pavol","Jurkovič",1,1
"Slávka","Kaliská",1,1
"Blahoslav","Kavasch",1,2
"Mojmír","Kazík",1,2
"Ambróz","Kazíková",1,3
"Erika","Kelová",1,2
"Bibiána","Ker",1,2
"Severín","Kiseľová",1,1
"Elena","Klimko",1,1
"Slávka","Klimo",1,1
"Vendelín","Klimová",2,1
"Gregor","Klokoč",1,2
"Vladimír","Klopačka",2,1
"Ivona","Kočko",1,1
"Gregor","Kocúr",1,2
"Paulína","Kocúr",2,1
"Olívia","Kocúrová",1,2
"Perla","Kolesár",1,3
"Filoména","Kolníková",1,1
"Ela","Konopková",1,3
"Ida","Konopková",1,1
"Silvester","Konôpková",1,1
"Tibor","Korec",1,1
"Nathan","Kostková",1,5
"Šarlota","Kostrec",2,2
"Estera","Kotian",1,2
"Ľubomíra","Kováč",1,1
"Vratko","Kovaľ",1,1
"Karol","Kovalčíková",1,1
"Kornélia","Kozáček",1,1
"Iris","Kozáková",1,1
"Florián","Kozmon",1,2
"Valentína","Krajčíová",1,1
"Patrícia","Krajčo",1,2
"Bonifác","Krajíčeková",1,2
"Marianna","Krajíčeková",1,2
"Františka","Král",1,2
"Barbora","Kramárová",2,3
"Dalibor","Krištof",3,1
"Blažej","Kríž",1,3
"Slavomíra","Krížová",1,2
"Demeter","Krotáková",1,2
"Brigita","Krúpa",1,2
"Viktória","Krúpa",1,2
"Paulína","Kuba",1,1
"Radoslava","Kubec",1,2
"Vasil","Kúbek",1,1
"Viktória","Kubiček",1,1
"Bronislava","Kubíčeková",1,1
"Milada","Kubíková",1,2
"Adela","Kubková",1,2
"Brigita","Kubková",2,1
"Marianna","Kubová",2,1
"Branislav","Kundová",1,1
"Lesia","Kunková",1,3
"Ferdinand","Kupková",1,1
"Edita","Kupová",1,2
"Ignác","Kysel",1,1
"Teodor","Kyseľa",1,2
"Daniel","Lacka",2,2
"Zoran","Lacková",2,1
"Ingrida","Leto",1,4
"Renáta","Lipa",1,1
"Matilda","Lipták",1,1
"Augustín","Líška",1,2
"Štefánia","Líška",1,2
"Kamil","Lojková",1,4
"Miloslava","Lojková",1,2
"Olympia","Lukša",1,5
"Simona","Ľuptáková",1,1
"Vasil","Maca",1,1
"Jarolím","Macek",1,1
"Alexander","Máček",2,2
"Matúš","Maceková",2,1
"Boleslav","Mačeková",1,1
"Ladislav","Machnáčová",1,1
"Oxana","Mackovič",1,1
"Dominik","Mackovičová",1,3
"Anežka","Maco",1,3
"Ľuboš","Maco",1,2
"Móric","Macová",1,1
"Ernest","Maďarič",1,1
"Zara","Maďaričová",1,3
"Karina","Majeská",2,2
"Kristína","Majeská",1,1
"Karolína","Majeský",1,1
"Oto","Makovecová",1,1
"Dionýz","Malachovská",1,1
"Benjamín","Mamojka",1,1
"Erika","Mamojka",1,1
"Zoja","Marcinová",1,3
"Helena","Mareček",1,2
"Valéria","Marečeková",1,2
"Radovan","Margitová",1,1
"Marcel","Marián",1,1
"Bartolomej","Mariánová",1,1
"Saskia","Mariánová",2,2
"Patrícia","Markovič",1,1
"Milada","Marta",1,1
"Ľudmila","Marťanová",1,2
"Nikola","Marťanová",1,1
"Radoslava","Martin",1,1
"Arnold","Martinek",1,1
"Norbert","Martinovič",1,2
"Františka","Masárik",1,1
"Margaréta","Masárová",1,1
"Ladislava","Maslová",1,1
"Denisa","Matiašková",2,1
"Samuel","Mečiarová",1,1
"Marián","Medvecká",1,1
"Koloman","Melichárek",1,3
"Iľja","Melicháreková",1,3
"Ctibor","Melicher",1,2
"Kvetoslav","Melicher",1,1
"Saskia","Menšíková",1,1
"Justína","Micháleková",1,2
"Radoslava","Michalík",1,1
"Stela","Michalíková",1,1
"Tatiana","Micháliková",1,3
"Adrián","Michalko",1,1
"Ľudomila","Mihalik",1,2
"Andrej","Mihalík",1,1
"Štefánia","Mihaliková",1,2
"František","Mikuláková",1,2
"Soňa","Milota",1,1
"Levoslav","Mináč",1,2
"René","Mišíková",1,3
"Alexej","Mistríková",1,1
"Gašpar","Mistríková",1,1
"Leopold","Mlynárik",2,1
"Dávid","Mora",1,2
"Martin","Moric",1,1
"Albín","Morová",1,1
"Tadeáš","Motyčková",1,1
"Víťazoslav","Mráz",1,1
"Brigita","Mrázko",1,1
"Filoména","Muchová",1,1
"Sofia","Muchová",1,1
"Ľudovít","Murinová",1,1
"Radovan","Murínová",1,2
"Urban","Murínová",1,1
"Natália","Mydlová",1,3
"Vanesa","Navara",1,1
"Gabriela","Nemcová",1,2
"Elisa","Nemec",1,1
"Liana","Nižňanská",1,3
"Patrícia","Nôta",1,1
"Metod","Obšut",1,1
"Mário","Očenášová",1,2
"Milena","Očenášová",1,2
"Juraj","Ondrášek",1,1
"Alojzia","Ondrášeková",1,1
"Móric","Ondrašík",1,1
"Hermína","Ondrejka",1,1
"Libor","Ondrejko",1,1
"Milica","Ondrejko",1,1
"Severín","Ondrejko",1,4
"Frederik","Ondruseková",1,1
"Eliška","Ondrušeková",1,2
"Ľudomila","Palko",2,2
"Ambróz","Palková",2,2
"Oskár","Paľková",1,3
"Karol","Palkovič",1,3
"Blažej","Palo",1,1
"Cecília","Palov",1,1
"Xénia","Paľuch",1,3
"Mário","Paľuchová",1,1
"Henrieta","Pašek",1,1
"Antónia","Pašková",1,2
"Branislava","Paulíčeková",1,1
"Miriama","Paulik",1,2
"Kazimír","Paulíková",1,2
"Fedor","Pavelka",1,2
"Emil","Pavlíčeková",1,1
"Ľuboslava","Pavlikovská",1,1
"Dezider","Pavlová",1,2
"Dobroslava","Pavlovová",1,1
"Kvetoslava","Pavol",2,1
"Nikola","Pavol",1,3
"Norbert","Pavol",1,2
"Dezider","Peško",2,1
"Elisa","Petruška",1,1
"Jolana","Pišút",1,4
"Fedor","Plauchová",1,3
"Edita","Plavuchová",1,2
"Levoslav","Plekanec",1,2
"Ervín","Podhradský",1,1
"Lýdia","Polláková",1,2
"Nathan","Polláková",1,1
"Stela","Porubjaková",1,2
"Dobroslav","Pukluš",1,2
"Linda","Riška",1,2
"Alfonz","Rojeková",1,2
"Denisa","Rojeková",1,1
"Václav","Rosina",1,2
"Bohuš","Rúfusová",1,1
"Fedor","Rusnak",1,3
"Tarzícius","Rybárová",1,1
"Eliška","Rybníčeková",1,1
"Lívia","Ryšková",1,2
"Xénia","Ryšková",1,1
"Viktor","Ryšová",1,2
"Lesana","Sameľ",1,3
"Blahoslav","Samuelová",1,2
"Nadežda","Sanitra",1,2
"Filoména","Sanitrová",1,1
"Karol","Seč",1,1
"Aiko","Sidor",1,2
"Alexandra","Simonová",1,1
"Eleonóra","Škantár",1,1
"Katarína","Sklárová",1,1
"Andrea","Sklenička",1,2
"Sára","Sklenka",1,1
"Gustáv","Sklenková",1,2
"Agáta","Škoviera",1,3
"Ľuboslava","Škriniar",1,1
"Miloš","Skutecká",1,1
"Bohumil","Slobodník",1,1
"Vasil","Slobodník",1,3
"Frederika","Šťastná",1,3
"Lukáš","Štefánek",1,1
"Zoja","Štefánek",1,1
"Izidor","Štefanka",1,4
"Miloslav","Štefanka",1,4
"Branislava","Štefanko",1,1
"Igor","Strnisko",1,2
"Oldrich","Strýčeková",1,2
"Vanesa","Šuňavec",2,1
"Vanda","Šurková",1,1
"Agáta","Šváb",1,1
"Michal","Švehlová",1,1
"Urban","Talpaš",1,1
"Gabriel","Talpašová",1,2
"Oľga","Talpašová",1,3
"Ladislav","Tatár",1,2
"Belo","Tatárová",2,3
"Lýdia","Timeková",1,1
"Izidor","Timko",1,1
"Berta","Tomaník",1,2
"Rozália","Tomaník",1,1
"Vladimír","Tomaník",1,1
"Ema","Tomašeková",1,1
"Oto","Tomášeková",2,2
"Gabriel","Tomášková",1,3
"Andrej","Trlík",1,3
"Darina","Valachovičová",1,3
"Andrej","Valentín",1,1
"Leopolda","Valušková",1,3
"Benjamín","Vaneková",1,2
"Olympia","Váska",1,1
"Hedviga","Vaško",1,1
"Boleslav","Veselová",1,3
"Andrej","Veterník",1,1
"Františka","Vicen",1,5
"Tamara","Vlachovičová",1,1
"Dominika","Vlnková",3,4
"Tomáš","Vojtko",1,1
"Angela","Vozárová",1,2
"Blažena","Vrablecová",1,1
"Radomír","Vrablecová",1,1
"Regína","Zachara",1,2
"Víťazoslav","Zachariaš",1,1
"Želmíra","Žigmund",2,2
"Irma","Zubková",1,1
